"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","GO:0001666","response to hypoxia","13/47","359/18866",2.71209525364526e-12,3.03486262042684e-09,2.31548537710229e-09,"HILPDA/CITED2/NDRG1/PLOD2/CD24/NOL3/ADM/PGK1/ERO1A/EPAS1/BNIP3/HMOX1/ATP1B1",13
"GO:0036293","GO:0036293","response to decreased oxygen levels","13/47","371/18866",4.10393863478951e-12,3.03486262042684e-09,2.31548537710229e-09,"HILPDA/CITED2/NDRG1/PLOD2/CD24/NOL3/ADM/PGK1/ERO1A/EPAS1/BNIP3/HMOX1/ATP1B1",13
"GO:0070482","GO:0070482","response to oxygen levels","13/47","396/18866",9.30672236846633e-12,4.5882141276539e-09,3.50063381719155e-09,"HILPDA/CITED2/NDRG1/PLOD2/CD24/NOL3/ADM/PGK1/ERO1A/EPAS1/BNIP3/HMOX1/ATP1B1",13
"GO:0071456","GO:0071456","cellular response to hypoxia","9/47","208/18866",1.91914566224565e-09,5.84063592227939e-07,4.45618427008541e-07,"HILPDA/CITED2/NDRG1/NOL3/PGK1/ERO1A/EPAS1/BNIP3/HMOX1",9
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","12/47","492/18866",1.97452194803225e-09,5.84063592227939e-07,4.45618427008541e-07,"MT1X/MT2A/MT1E/CD24/NOL3/ADM/ERO1A/TGM2/SYNPO/BNIP3/MT1F/ATP1B1",12
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","9/47","218/18866",2.89906661122146e-09,7.1461991966609e-07,5.45227966180598e-07,"HILPDA/CITED2/NDRG1/NOL3/PGK1/ERO1A/EPAS1/BNIP3/HMOX1",9
"GO:0071453","GO:0071453","cellular response to oxygen levels","9/47","235/18866",5.59235685683038e-09,1.18158511303602e-06,9.01504744439424e-07,"HILPDA/CITED2/NDRG1/NOL3/PGK1/ERO1A/EPAS1/BNIP3/HMOX1",9
"GO:0071276","GO:0071276","cellular response to cadmium ion","5/47","38/18866",3.63795680288935e-08,6.68838648822822e-06,5.10298588333557e-06,"MT1X/MT2A/MT1E/MT1F/HMOX1",5
"GO:0010273","GO:0010273","detoxification of copper ion","4/47","15/18866",4.52223562422462e-08,6.68838648822822e-06,5.10298588333557e-06,"MT1X/MT2A/MT1E/MT1F",4
"GO:1990169","GO:1990169","stress response to copper ion","4/47","15/18866",4.52223562422462e-08,6.68838648822822e-06,5.10298588333557e-06,"MT1X/MT2A/MT1E/MT1F",4
