M	A	Rank	Composite
PPIG	0.0190243558610056	1.78784143412081	1173.35849056604	PPIG: 1173.35849056604
CCDC173	0.0002449160671305	0.0271166095513995	16235.2547169811	CCDC173: 16235.2547169811
PHOSPHO2	0.00295980997186545	0.178253212824525	8116.22641509434	PHOSPHO2: 8116.22641509434
KLHL23	0.0025538488185617	0.230831216776715	8414.94339622642	KLHL23: 8414.94339622642
SSB	0.0228373601475324	1.69790242744796	981.962264150943	SSB: 981.962264150943
METTL5	0.0232197268158576	1.58869489100023	973.094339622642	METTL5: 973.094339622642
UBR3	0.00484971590748411	0.480807202799396	5046.32075471698	UBR3: 5046.32075471698
MYO3B	3.15840412305544e-05	0.00378653816329192	23894.6981132075	MYO3B: 23894.6981132075
MYO3B-AS1	0	0.000248871288670788	27241.6698113208	MYO3B-AS1: 27241.6698113208
AC007277.1	1.23684127218307e-07	0.000162341800292549	27064.2830188679	AC007277.1: 27064.2830188679
AC007405.1	0.000217360182809306	0.0178762592797389	18168.2264150943	AC007405.1: 18168.2264150943
LINC01124	6.42413218421105e-05	0.00606884499415086	21482.8679245283	LINC01124: 21482.8679245283
SP5	0.000182503445874453	0.0170796209229487	17086.358490566	SP5: 17086.358490566
AC007405.3	0.00359425724032306	0.235328055049329	7027.58490566038	AC007405.3: 7027.58490566038
ERICH2	0.000919242334659471	0.0694720291291945	11894.2264150943	ERICH2: 11894.2264150943
GAD1	0.00109863903771022	0.0574708239476735	12074.358490566	GAD1: 12074.358490566
AC007405.2	3.289935777212e-05	0.00318371101895666	24308.820754717	AC007405.2: 24308.820754717
AC007405.4	0	7.22829671659861e-05	27241.6698113208	AC007405.4: 27241.6698113208
AC010092.1	1.42995374646083e-06	0.000392511194851984	26878.820754717	AC010092.1: 26878.820754717
GORASP2	0.0106767053758021	0.909222541949354	2728.67924528302	GORASP2: 2728.67924528302
TLK1	0.00948326354417706	0.786276965792973	2896.15094339623	TLK1: 2896.15094339623
METTL8	0.00183398245960355	0.147176467051165	9680.54716981132	METTL8: 9680.54716981132
DCAF17	0.00141668646766215	0.107241638106815	10406.4150943396	DCAF17: 10406.4150943396
CYBRD1	0.000761413279919004	0.0705935561716305	12737.0754716981	CYBRD1: 12737.0754716981
DYNC1I2	0.0156726799296898	1.32779347678576	1648.37735849057	DYNC1I2: 1648.37735849057
SLC25A12	0.00293743157695603	0.229471649199411	7342.39622641509	SLC25A12: 7342.39622641509
HAT1	0.00940599027159493	0.662072111999861	3026.60377358491	HAT1: 3026.60377358491
METAP1D	0.000650441445194971	0.0633530149626167	13106.0188679245	METAP1D: 13106.0188679245
DLX1	1.52092159571319e-07	0.000298478118235213	26883.2452830189	DLX1: 26883.2452830189
DLX2	1.73346320007072e-06	0.000737437609034564	26161.5566037736	DLX2: 26161.5566037736
DLX2-DT	0	1.05141417314739e-05	27241.6698113208	DLX2-DT: 27241.6698113208
AC104088.1	0	1.10385695801852e-05	27241.6698113208	AC104088.1: 27241.6698113208
AC104088.3	0	0	27241.6698113208	AC104088.3: 27241.6698113208
AC104088.2	0	1.32553151606999e-05	27241.6698113208	AC104088.2: 27241.6698113208
ITGA6	0.00261133645877897	0.177773863970247	8591.56603773585	ITGA6: 8591.56603773585
AC078883.2	2.24612637666496e-07	0.000213499324905112	27076.0094339623	AC078883.2: 27076.0094339623
ITGA6-AS1	0.000336444936831605	0.0277221264479168	16068.7075471698	ITGA6-AS1: 16068.7075471698
AC078883.1	0.000303655638118939	0.0249703019990919	16906.0660377359	AC078883.1: 16906.0660377359
PDK1	0.00322333134932586	0.312633464988151	7227.62264150943	PDK1: 7227.62264150943
RAPGEF4-AS1	3.95219293285481e-05	0.00312687491815122	23071.0471698113	RAPGEF4-AS1: 23071.0471698113
RAPGEF4	0.00110200938477588	0.0772742356273723	11377.6981132075	RAPGEF4: 11377.6981132075
MAP3K20	0.00275810370240802	0.216952092512003	8113.60377358491	MAP3K20: 8113.60377358491
MAP3K20-AS1	2.96132727914984e-07	0.000228631770591204	26881.7264150943	MAP3K20-AS1: 26881.7264150943
CDCA7	3.95425816176029e-05	0.00170447741016156	23791.5943396226	CDCA7: 23791.5943396226
AC106900.1	0	2.78133904386811e-05	27241.6698113208	AC106900.1: 27241.6698113208
SP3	0.00453319449536098	0.402459946916717	5320.09433962264	SP3: 5320.09433962264
AC016737.1	2.7902272880762e-05	0.00230062486184509	24681.8867924528	AC016737.1: 24681.8867924528
AC016737.2	7.32109651000581e-07	0.000141611034201427	26880.1886792453	AC016737.2: 26880.1886792453
LINC01960	8.66514145185746e-07	0.000734109533308433	26703.7924528302	LINC01960: 26703.7924528302
OLA1	0.0174984043401814	1.289813048553	1420.60377358491	OLA1: 1420.60377358491
LINC01305	5.6409468847241e-09	0.000694085494592054	27065.4056603774	LINC01305: 27065.4056603774
SP9	0	7.35077132093928e-05	27241.6698113208	SP9: 27241.6698113208
CIR1	0.0124472556361169	0.974705614127926	2068.84905660377	CIR1: 2068.84905660377
SCRN3	0.00402640867357487	0.306913280237325	6159.58490566038	SCRN3: 6159.58490566038
GPR155	0.00177542839943821	0.178902793723351	9190	GPR155: 9190
AC010894.2	0.00064342388672606	0.0369381382335741	13320.4622641509	AC010894.2: 13320.4622641509
AC010894.3	9.00150444530223e-06	0.00223945603840886	25905.4339622641	AC010894.3: 25905.4339622641
WIPF1	0.00166022153186646	0.124439565257346	9622.56603773585	WIPF1: 9622.56603773585
AC010894.4	0	4.45937100180051e-05	27241.6698113208	AC010894.4: 27241.6698113208
CHRNA1	4.51360582260406e-05	0.00350278456665266	24468.6509433962	CHRNA1: 24468.6509433962
CHN1	0.00571220015782751	0.387498397130623	5204	CHN1: 5204
ATF2	0.00515293415294355	0.448813067898406	5042.07547169811	ATF2: 5042.07547169811
AC096649.1	0	7.03545790152891e-05	27241.6698113208	AC096649.1: 27241.6698113208
ATP5MC3	0.045401658402862	3.21996091785988	320.641509433962	ATP5MC3: 320.641509433962
AC093459.1	0	7.32752292971934e-05	27241.6698113208	AC093459.1: 27241.6698113208
AC016751.2	0	0	27241.6698113208	AC016751.2: 27241.6698113208
AC016751.1	0	8.27751913000374e-06	27241.6698113208	AC016751.1: 27241.6698113208
LNPK	0.00566888816863807	0.587310221354186	4514	LNPK: 4514
EVX2	0	9.20611101649275e-06	27241.6698113208	EVX2: 27241.6698113208
HOXD13	0	1.89007246586053e-05	27241.6698113208	HOXD13: 27241.6698113208
HOXD12	0	0	27241.6698113208	HOXD12: 27241.6698113208
HOXD11	0	6.46898203373372e-05	27241.6698113208	HOXD11: 27241.6698113208
HOXD10	0	1.91861009933653e-05	27241.6698113208	HOXD10: 27241.6698113208
HOXD-AS2	3.91136833956158e-05	0.00901965553358272	22281.1226415094	HOXD-AS2: 22281.1226415094
HOXD9	5.75709508505476e-06	0.0026465554623489	24373.4150943396	HOXD9: 24373.4150943396
HOXD8	5.9143621412131e-05	0.0128553758148317	20511.0660377359	HOXD8: 20511.0660377359
HOXD3	9.06825693792627e-07	0.001099629518548	26545.6132075472	HOXD3: 26545.6132075472
HOXD4	2.23715090145194e-06	0.0015003631506723	26197.0283018868	HOXD4: 26197.0283018868
HAGLR	2.25002283470952e-05	0.00545445739313663	22886.2547169811	HAGLR: 22886.2547169811
AC009336.1	0	5.76324472117676e-05	27241.6698113208	AC009336.1: 27241.6698113208
HAGLROS	8.43009428200194e-05	0.013710894446427	19989.6603773585	HAGLROS: 19989.6603773585
HOXD1	3.96846049700098e-06	0.00308582800128058	25639.1509433962	HOXD1: 25639.1509433962
MTX2	0.0116968312029079	0.776965985610025	2420.88679245283	MTX2: 2420.88679245283
LINC01117	2.74820440200691e-05	0.00459500856804465	23735.2358490566	LINC01117: 23735.2358490566
AC017048.1	0	0	27241.6698113208	AC017048.1: 27241.6698113208
AC017048.2	0	9.70533740170149e-06	27241.6698113208	AC017048.2: 27241.6698113208
AC017048.3	1.78333939758982e-07	0.000339469862393349	27064.6037735849	AC017048.3: 27064.6037735849
LINC01116	0.000951235824947774	0.0662953559494259	12012.3867924528	LINC01116: 12012.3867924528
AC092162.2	2.31021615829993e-08	0.000115145572692448	27083.6037735849	AC092162.2: 27083.6037735849
AC073636.1	4.20989007189199e-08	0.000234845030230802	27070.4150943396	AC073636.1: 27070.4150943396
AC074286.1	2.3942439690029e-05	0.00325270015609077	24076.6226415094	AC074286.1: 24076.6226415094
AC079305.3	0.000452389399092911	0.0449939634041873	14453.4811320755	AC079305.3: 14453.4811320755
HNRNPA3	0.0312316459036764	2.06202825285046	593.188679245283	HNRNPA3: 593.188679245283
NFE2L2	0.0138225278061398	1.20740156130101	1932.24528301887	NFE2L2: 1932.24528301887
AC079305.1	0.000205877056318581	0.0193063772488834	17873.5849056604	AC079305.1: 17873.5849056604
AC019080.1	0.000440578971044153	0.0378701378575867	14272.4150943396	AC019080.1: 14272.4150943396
AC019080.4	3.8084088946924e-06	0.000643450364570197	26304.6509433962	AC019080.4: 26304.6509433962
AC019080.5	3.27787853138691e-05	0.00269661383303956	23810.1320754717	AC019080.5: 23810.1320754717
AC019080.6	0.000153675184788682	0.00996777394759209	18798.4716981132	AC019080.6: 18798.4716981132
AGPS	0.00398905023899424	0.317514576612615	6207.69811320755	AGPS: 6207.69811320755
TTC30B	0.00121803050806358	0.100494457953114	10668	TTC30B: 10668
AC073834.1	0	0.000101249700472332	27241.6698113208	AC073834.1: 27241.6698113208
TTC30A	0.00163370663008049	0.128368849324593	9745.03773584906	TTC30A: 9745.03773584906
PDE11A	0.000303401627240994	0.0256037866192255	15407.8679245283	PDE11A: 15407.8679245283
AC012499.1	0	0.000127446241738976	27241.6698113208	AC012499.1: 27241.6698113208
AC011998.3	0	1.99640069739909e-05	27241.6698113208	AC011998.3: 27241.6698113208
RBM45	0.00176072830981712	0.132441245505076	9729.49056603774	RBM45: 9729.49056603774
OSBPL6	0.00174543130818108	0.154070353219391	9534.41509433962	OSBPL6: 9534.41509433962
CHROMR	0.00262980962903792	0.193551677831434	8093.03773584906	CHROMR: 8093.03773584906
PRKRA	0.0107404364294928	0.742925383652404	2877.41509433962	PRKRA: 2877.41509433962
PJVK	0.0004328394339683	0.0303487905582692	14285.9150943396	PJVK: 14285.9150943396
FKBP7	0.00337310225324622	0.240863434136562	7611.8679245283	FKBP7: 7611.8679245283
PLEKHA3	0.00791509468283546	0.740480323440153	3504.35849056604	PLEKHA3: 3504.35849056604
TTN-AS1	0.00156658446974413	0.191526428045282	9724.62264150943	TTN-AS1: 9724.62264150943
TTN	0.00110518196643419	0.0777481080197659	11461.0660377358	TTN: 11461.0660377358
AC009948.3	5.33786615085862e-05	0.00516722531480123	22493.1509433962	AC009948.3: 22493.1509433962
AC009948.2	3.04149944585013e-05	0.00573207847186185	23625.1981132075	AC009948.2: 23625.1981132075
AC010680.3	9.61310635755516e-05	0.015033991519539	20559.2452830189	AC010680.3: 20559.2452830189
AC010680.2	8.68368147407564e-05	0.00807978292749452	21512.7830188679	AC010680.2: 21512.7830188679
AC010680.4	4.73719727775962e-05	0.00619265865017246	22971.9528301887	AC010680.4: 22971.9528301887
AC010680.5	7.27165503968471e-05	0.00692872960083276	23293.9622641509	AC010680.5: 23293.9622641509
AC010680.1	6.23757485527826e-05	0.00830967246242599	21628.9339622641	AC010680.1: 21628.9339622641
AC092640.1	0	0.000227275482092149	27241.6698113208	AC092640.1: 27241.6698113208
CCDC141	0.000241377154076744	0.0241536843496305	16298.1132075472	CCDC141: 16298.1132075472
SESTD1	0.00611966756166491	0.574874895365349	4196.52830188679	SESTD1: 4196.52830188679
AC093911.1	0	4.40803798717835e-05	27241.6698113208	AC093911.1: 27241.6698113208
ZNF385B	2.43280368595006e-05	0.00391021128201805	23703.2075471698	ZNF385B: 23703.2075471698
CWC22	0.00365629838002637	0.337473654739299	6400.79245283019	CWC22: 6400.79245283019
AC009478.1	0	0	27241.6698113208	AC009478.1: 27241.6698113208
SCHLAP1	4.06809373222405e-07	0.00020726164343569	26891.4245283019	SCHLAP1: 26891.4245283019
UBE2E3	0.0156503561171398	1.08950903925492	1681.16981132075	UBE2E3: 1681.16981132075
AC104076.1	7.06461116311806e-07	0.00065404931446078	26880.5283018868	AC104076.1: 26880.5283018868
AC068196.1	3.31835608999431e-07	0.000642034748337443	27050.2735849057	AC068196.1: 27050.2735849057
LINC01934	2.56311686841921e-05	0.00140635735995088	23709.2075471698	LINC01934: 23709.2075471698
AC020595.1	0	5.77000750100975e-06	27241.6698113208	AC020595.1: 27241.6698113208
ITGA4	0.00042634593420798	0.0222849938932289	14972.2358490566	ITGA4: 14972.2358490566
CERKL	0.00206172009087326	0.165298689305726	9197.09433962264	CERKL: 9197.09433962264
NEUROD1	0.0252039214401227	1.72210591616422	1002.41509433962	NEUROD1: 1002.41509433962
AC013733.2	7.85864580281663e-07	0.00123560940479444	26860.8773584906	AC013733.2: 26860.8773584906
AC013733.1	0	9.34384689979439e-06	27241.6698113208	AC013733.1: 27241.6698113208
AC009962.1	5.25293430411896e-05	0.00506335105054324	23052.4339622641	AC009962.1: 23052.4339622641
ITPRID2	0.00516131332655549	0.445402115889795	5083.84905660377	ITPRID2: 5083.84905660377
PPP1R1C	0.0006476723416063	0.0463911411731716	13857.1037735849	PPP1R1C: 13857.1037735849
PDE1A	0.000324717537957527	0.0344933674521696	15609.320754717	PDE1A: 15609.320754717
AC012500.1	0	7.77096138162433e-05	27241.6698113208	AC012500.1: 27241.6698113208
DNAJC10	0.00853813474779601	0.822474430431274	3208.09433962264	DNAJC10: 3208.09433962264
FRZB	0.00129453092448919	0.0760370553904004	11285.6981132075	FRZB: 11285.6981132075
NCKAP1	0.0141906436032734	1.19770960151429	1746.16981132075	NCKAP1: 1746.16981132075
DUSP19	0.000960675063723267	0.0782517119918655	11744.641509434	DUSP19: 11744.641509434
AC064871.2	0	5.63791582550448e-05	27241.6698113208	AC064871.2: 27241.6698113208
NUP35	0.0027742862785063	0.206129691743523	8170.15094339623	NUP35: 8170.15094339623
AC021851.1	0.000148020400770217	0.0149358879454591	19524.8773584906	AC021851.1: 19524.8773584906
AC021851.2	1.01342924804138e-05	0.00250659348702552	25642.2641509434	AC021851.2: 25642.2641509434
AC093639.3	3.54486061807434e-07	0.00026643417717381	27062.7264150943	AC093639.3: 27062.7264150943
AC093639.1	0	0	27241.6698113208	AC093639.1: 27241.6698113208
AC093639.2	0	2.93940759950544e-05	27241.6698113208	AC093639.2: 27241.6698113208
AC096555.1	0	0	27241.6698113208	AC096555.1: 27241.6698113208
AC020584.1	0	2.02498296778112e-05	27241.6698113208	AC020584.1: 27241.6698113208
AC096667.1	3.82332021605985e-05	0.0039091759413645	23199.5849056604	AC096667.1: 23199.5849056604
ZNF804A	5.14271767027109e-05	0.00604731221909976	21989.1037735849	ZNF804A: 21989.1037735849
AC009315.1	0.000174538325787619	0.0278569129362453	17406.3301886792	AC009315.1: 17406.3301886792
FSIP2-AS1	9.09034377132112e-05	0.0102552838686696	21100.0660377359	FSIP2-AS1: 21100.0660377359
FSIP2-AS2	8.15184329214847e-06	0.00133860435562991	25420.5849056604	FSIP2-AS2: 25420.5849056604
FSIP2	0.00042185363560836	0.062842539546216	15014.9245283019	FSIP2: 15014.9245283019
AC097500.1	6.71883416711271e-05	0.00875096436255405	23027.5283018868	AC097500.1: 23027.5283018868
LINC01473	0.00133181983917935	0.160439049373337	10635.7169811321	LINC01473: 10635.7169811321
AC017071.1	0.000168402011445423	0.0227888084164806	18104.858490566	AC017071.1: 18104.858490566
ZC3H15	0.0187378043160193	1.49185489742143	1253.50943396226	ZC3H15: 1253.50943396226
ITGAV	0.0120911042616894	1.02037506235475	2252.01886792453	ITGAV: 2252.01886792453
AC017101.1	1.30014107725594e-07	0.000323701003632278	27063.358490566	AC017101.1: 27063.358490566
FAM171B	0.00282096164698145	0.2826882003568	7732.01886792453	FAM171B: 7732.01886792453
ZSWIM2	2.47440871822162e-06	0.00140260215954466	26853.9528301887	ZSWIM2: 26853.9528301887
AC007319.1	0.000138051120649858	0.00995875814527338	19488.1037735849	AC007319.1: 19488.1037735849
CALCRL	0.000377661559927673	0.0329260796005008	14543.9433962264	CALCRL: 14543.9433962264
TFPI	0.00755591576361079	0.446855439772039	4273.11320754717	TFPI: 4273.11320754717
LINC01090	0	4.2457569709519e-05	27241.6698113208	LINC01090: 27241.6698113208
GULP1	0.00347838122954486	0.258688294106576	7636.43396226415	GULP1: 7636.43396226415
AC092598.1	6.01910750652467e-07	0.000379641957870909	27062.7075471698	AC092598.1: 27062.7075471698
DIRC1	0	0.00038521270819255	27241.6698113208	DIRC1: 27241.6698113208
COL3A1	0.0180479975559147	0.300061807153169	2127.83018867925	COL3A1: 2127.83018867925
COL5A2	0.00325438232796191	0.140023923411516	7421.11320754717	COL5A2: 7421.11320754717
AC133106.1	0	5.81835243516412e-05	27241.6698113208	AC133106.1: 27241.6698113208
WDR75	0.00249889574866269	0.208055165764317	8185.88679245283	WDR75: 8185.88679245283
AC013439.2	0	0.000143669278068437	27241.6698113208	AC013439.2: 27241.6698113208
SLC40A1	0.00707654417493198	0.534065653370365	4117.60377358491	SLC40A1: 4117.60377358491
ASNSD1	0.00666446207920134	0.478243000189757	4334	ASNSD1: 4334
ASDURF	2.64412043464579e-06	0.000503066105506222	26337.4811320755	ASDURF: 26337.4811320755
ANKAR	0.000634409776391504	0.0713760511191844	12403.3018867925	ANKAR: 12403.3018867925
OSGEPL1	0.00140324709946057	0.115963724580547	10501.9433962264	OSGEPL1: 10501.9433962264
OSGEPL1-AS1	0.000420322790962358	0.0192079753054813	15176.4811320755	OSGEPL1-AS1: 15176.4811320755
AC013468.1	4.24413074695381e-05	0.00502382556347676	23825.5754716981	AC013468.1: 23825.5754716981
ORMDL1	0.0172312654128592	1.36049692800982	1418.67924528302	ORMDL1: 1418.67924528302
PMS1	0.00211175075713154	0.183370423779743	9131.20754716981	PMS1: 9131.20754716981
C2orf88	0.000498326432959738	0.036608539774835	14430.3018867925	C2orf88: 14430.3018867925
MSTN	3.02067341158694e-06	0.00122054638445769	26684.8301886792	MSTN: 26684.8301886792
HIBCH	0.00727768969912475	0.579083074686768	3724.20754716981	HIBCH: 3724.20754716981
INPP1	0.00651426176630689	0.475485872295996	4621.07547169811	INPP1: 4621.07547169811
MFSD6	0.00370429781113986	0.367419554816113	6306.33962264151	MFSD6: 6306.33962264151
AC093388.1	8.04494554843351e-06	0.00120429056164068	25660.4339622641	AC093388.1: 25660.4339622641
NEMP2	0.000337271719818463	0.0304136871664352	15123.7924528302	NEMP2: 15123.7924528302
AC108047.1	0.00128174862300713	0.100705979555451	10867.5283018868	AC108047.1: 10867.5283018868
AC006460.2	0.000246738718632411	0.0256932927613787	17521.9528301887	AC006460.2: 17521.9528301887
NAB1	0.00254413857217129	0.188789646517561	8194.47169811321	NAB1: 8194.47169811321
AC006460.1	5.95777263476261e-07	0.000527085430251504	26723.5377358491	AC006460.1: 26723.5377358491
AC005540.1	3.85942113846086e-05	0.00355646481831979	22332.0283018868	AC005540.1: 22332.0283018868
GLS	0.0236003703939353	1.46665345052288	918.679245283019	GLS: 918.679245283019
STAT1	0.0082899799508872	0.658871371982116	3127.54716981132	STAT1: 3127.54716981132
AC067945.2	0	5.70303729295045e-05	27241.6698113208	AC067945.2: 27241.6698113208
AC067945.3	0	0.000414814647399741	27241.6698113208	AC067945.3: 27241.6698113208
STAT4	0.00135492190322734	0.112063854801426	10464.1698113208	STAT4: 10464.1698113208
AC067945.4	1.92792609553811e-06	0.000268239863129549	26529.1037735849	AC067945.4: 26529.1037735849
AC092614.1	1.13608753472603e-05	0.00134436907392512	24969.3867924528	AC092614.1: 24969.3867924528
MYO1B	0.00988852381052142	0.86168878571056	2744.96226415094	MYO1B: 2744.96226415094
NABP1	0.00137208643980219	0.0800859811358774	11121.5849056604	NABP1: 11121.5849056604
AC098872.1	0	1.02087579674118e-05	27241.6698113208	AC098872.1: 27241.6698113208
CAVIN2	0.000191266775813812	0.0216822932503899	16906.5188679245	CAVIN2: 16906.5188679245
AC098617.1	2.51094381027861e-07	0.000283317419092724	27060.9716981132	AC098617.1: 27060.9716981132
TMEFF2	3.42513674290207e-05	0.00272323749268751	23491.2358490566	TMEFF2: 23491.2358490566
AC062039.1	0	0	27241.6698113208	AC062039.1: 27241.6698113208
AC013401.1	0	8.90820680849104e-05	27241.6698113208	AC013401.1: 27241.6698113208
PCGEM1	7.90604657396261e-08	0.000294752280529436	27058.7735849057	PCGEM1: 27058.7735849057
AC096647.1	3.88178930818739e-05	0.00686304583978444	23631.3962264151	AC096647.1: 23631.3962264151
AC074290.2	0	0	27241.6698113208	AC074290.2: 27241.6698113208
AC068135.2	0	5.20590247181359e-05	27241.6698113208	AC068135.2: 27241.6698113208
LINC01821	9.82292874418964e-06	0.00111448865055889	26114.0283018868	LINC01821: 26114.0283018868
AC073973.1	0	4.78942112661553e-06	27241.6698113208	AC073973.1: 27241.6698113208
LINC01790	0	7.39918608953015e-06	27241.6698113208	LINC01790: 27241.6698113208
AC010983.1	0	4.07866937490313e-06	27241.6698113208	AC010983.1: 27241.6698113208
AC104823.1	0	0.000357742139853199	27241.6698113208	AC104823.1: 27241.6698113208
AC064834.1	0	1.01188816872753e-05	27241.6698113208	AC064834.1: 27241.6698113208
LINC01825	0	7.07167219374083e-05	27241.6698113208	LINC01825: 27241.6698113208
LINC01827	0	6.94804162250203e-05	27241.6698113208	LINC01827: 27241.6698113208
SLC39A10	0.00323694295233396	0.264325426676752	7477.20754716981	SLC39A10: 7477.20754716981
DNAH7	0.000404435554151704	0.0415605237278243	14247.6603773585	DNAH7: 14247.6603773585
STK17B	0.00141087804151222	0.0696103627977791	10730.6509433962	STK17B: 10730.6509433962
AC114760.2	5.82744247861121e-05	0.00675331735552929	22216.7547169811	AC114760.2: 22216.7547169811
HECW2	0.00175843545464208	0.156307380639015	9445.33962264151	HECW2: 9445.33962264151
HECW2-AS1	7.31678147859985e-05	0.00801196958508799	22283.1886792453	HECW2-AS1: 22283.1886792453
AC068544.2	0	0.000218463781659775	27241.6698113208	AC068544.2: 27241.6698113208
CCDC150	0.000556245426596668	0.049379332418925	13929.1320754717	CCDC150: 13929.1320754717
GTF3C3	0.00378332922931545	0.313654418572856	6234.09433962264	GTF3C3: 6234.09433962264
C2orf66	7.30970042967914e-05	0.00522628419893764	22757.6698113208	C2orf66: 22757.6698113208
PGAP1	0.00231653239374176	0.222078884034709	8251.84905660377	PGAP1: 8251.84905660377
ANKRD44	0.00136642495479813	0.122809466389356	10319.5943396226	ANKRD44: 10319.5943396226
AC013264.1	2.64234414578004e-06	0.000390456278021806	26285.3679245283	AC013264.1: 26285.3679245283
ANKRD44-IT1	0.000112243792467793	0.0139273126712642	20412.1698113208	ANKRD44-IT1: 20412.1698113208
AC010746.2	9.68072665679439e-07	0.000599940949219254	26875.6981132075	AC010746.2: 26875.6981132075
SF3B1	0.0166030394732058	1.43678358060835	1334.22641509434	SF3B1: 1334.22641509434
COQ10B	0.00983780637345286	0.748931630338938	3088.09433962264	COQ10B: 3088.09433962264
HSPD1	0.0338207615622181	2.68618984552818	555.867924528302	HSPD1: 555.867924528302
HSPE1	0.0522712836121194	3.28909322069016	261.415094339623	HSPE1: 261.415094339623
MOB4	0.0126978866201831	0.896047390039706	2187.35849056604	MOB4: 2187.35849056604
RFTN2	4.32010353300298e-05	0.00685321522470598	22080.641509434	RFTN2: 22080.641509434
AC020550.2	1.62278211433181e-06	0.000466039889784932	26393.4811320755	AC020550.2: 26393.4811320755
AC011997.1	1.56651069752765e-08	0.00011092666611752	27081.2924528302	AC011997.1: 27081.2924528302
MARS2	0.000561346258331688	0.0400230843288882	14191.0943396226	MARS2: 14191.0943396226
BOLL	1.39327910918053e-07	0.000113638876381488	27057.9433962264	BOLL: 27057.9433962264
PLCL1	0.000193830890816817	0.0155340224546273	17448.8301886792	PLCL1: 17448.8301886792
AC011997.2	0	0.000105679141816664	27241.6698113208	AC011997.2: 27241.6698113208
AC020719.1	0	0	27241.6698113208	AC020719.1: 27241.6698113208
LINC01923	0	4.52067660693814e-05	27241.6698113208	LINC01923: 27241.6698113208
AC019330.1	0	4.70228648680421e-06	27241.6698113208	AC019330.1: 27241.6698113208
AC020718.1	0	7.32388575420305e-06	27241.6698113208	AC020718.1: 27241.6698113208
SATB2	0.000334922834311606	0.0286395297319792	15489.8301886792	SATB2: 15489.8301886792
AC016746.1	6.14890486329642e-07	0.000217418143831061	27064.6886792453	AC016746.1: 27064.6886792453
SATB2-AS1	4.30388152229498e-05	0.00352053086438695	23550.7358490566	SATB2-AS1: 23550.7358490566
LINC01877	8.14223813032461e-07	6.54988734934424e-05	27048.3396226415	LINC01877: 27048.3396226415
FTCDNL1	0.000849491438507668	0.0572997695360592	13180.9433962264	FTCDNL1: 13180.9433962264
AC097717.1	1.15994278695126e-05	0.00202862361408035	25096.6132075472	AC097717.1: 25096.6132075472
C2orf69	0.00489367293399724	0.414243278766876	5497.83018867925	C2orf69: 5497.83018867925
TYW5	0.00251797885082885	0.239185408185734	8026.94339622641	TYW5: 8026.94339622641
MAIP1	0.00404550479533226	0.289277147788389	6442.56603773585	MAIP1: 6442.56603773585
AC004464.1	3.46691303468879e-07	0.0002707481503225	27068.5754716981	AC004464.1: 27068.5754716981
SPATS2L	0.0134640813746098	1.01499922710033	2076.62264150943	SPATS2L: 2076.62264150943
AC012459.1	8.40456955640452e-05	0.00698563033782636	20671.6320754717	AC012459.1: 20671.6320754717
KCTD18	0.00268532582310962	0.218965777669576	8032.28301886792	KCTD18: 8032.28301886792
SGO2	0.000940407391385384	0.0721498468516255	11967.5660377358	SGO2: 11967.5660377358
AOX1	0.00226664004821816	0.142445129447736	9381.03773584906	AOX1: 9381.03773584906
LINC01792	6.22683205044709e-06	0.00227907660929233	26100.1698113208	LINC01792: 26100.1698113208
AC007163.1	0	0.000204547254947346	27241.6698113208	AC007163.1: 27241.6698113208
BZW1	0.0208715320541968	1.59384121739001	1127.77358490566	BZW1: 1127.77358490566
CLK1	0.0106402657542656	0.624191111354512	2658.84905660377	CLK1: 2658.84905660377
PPIL3	0.00568765352457133	0.382295650858313	5280.92452830189	PPIL3: 5280.92452830189
NIF3L1	0.00399134232461792	0.272702292481609	6597.69811320755	NIF3L1: 6597.69811320755
ORC2	0.00246870160510564	0.185067065277503	8301.28301886793	ORC2: 8301.28301886793
AC005037.1	5.66985658313753e-05	0.00412877445865558	22606.3018867925	AC005037.1: 22606.3018867925
FAM126B	0.00389371080048866	0.364243009598742	6116.7358490566	FAM126B: 6116.7358490566
NDUFB3	0.035188358323013	2.21131862986836	551.735849056604	NDUFB3: 551.735849056604
AC007272.1	7.897328659846e-06	0.00158264934209865	26284.6320754717	AC007272.1: 26284.6320754717
CFLAR	0.00868365941988391	0.680311199787057	3122.05660377358	CFLAR: 3122.05660377358
CFLAR-AS1	4.5032411597097e-05	0.00646885218608707	22949.2264150943	CFLAR-AS1: 22949.2264150943
AC007283.1	0	2.81161639915416e-05	27241.6698113208	AC007283.1: 27241.6698113208
CASP10	0.000548089588803802	0.0462064322536555	13736.0283018868	CASP10: 13736.0283018868
CASP8	0.000809883620241349	0.0636814627712079	12424.8018867925	CASP8: 12424.8018867925
FLACC1	5.99290703668918e-05	0.00418394575382548	23794.0849056604	FLACC1: 23794.0849056604
TRAK2	0.00274429961387751	0.238213530636235	7954.2641509434	TRAK2: 7954.2641509434
STRADB	0.00239600128608036	0.188307393809948	8746.15094339623	STRADB: 8746.15094339623
C2CD6	0.00012799064213888	0.0138186203948691	19504.5660377359	C2CD6: 19504.5660377359
TMEM237	0.0024668821296857	0.187359517858952	8438.20754716981	TMEM237: 8438.20754716981
AC007279.2	7.29747949012643e-05	0.00690896914585213	22228.6886792453	AC007279.2: 22228.6886792453
