"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051590","GO:0051590","positive regulation of neurotransmitter transport","3/42","28/18866",3.23318067247161e-05,0.0276274064147609,0.0203496364378177,"STX1A/ITGB1/RAB3B",3
"GO:0035633","GO:0035633","maintenance of blood-brain barrier","3/42","34/18866",5.85114377779156e-05,0.0276274064147609,0.0203496364378177,"ITGB1/ACTG1/ACTB",3
"GO:0051954","GO:0051954","positive regulation of amine transport","3/42","38/18866",8.19776262378486e-05,0.0276274064147609,0.0203496364378177,"STX1A/ITGB1/RAB3B",3
"GO:0016049","GO:0016049","cell growth","7/42","490/18866",9.37316587438877e-05,0.0276274064147609,0.0203496364378177,"TNFRSF12A/ITGB1/GNG4/APBB2/MEG3/INHBA/CIB1",7
"GO:0031589","GO:0031589","cell-substrate adhesion","6/42","359/18866",0.000133939961186085,0.0301292471332157,0.0221924279138457,"TNFRSF12A/HSD17B12/ITGB1/ACTG1/ID1/CIB1",6
"GO:0002673","GO:0002673","regulation of acute inflammatory response","3/42","49/18866",0.000176014139331175,0.0301292471332157,0.0221924279138457,"ADCYAP1/C2CD4B/C2CD4A",3
"GO:0001541","GO:0001541","ovarian follicle development","3/42","57/18866",0.000276097789289035,0.0301292471332157,0.0221924279138457,"ADCYAP1/INHBA/VGF",3
"GO:0015850","GO:0015850","organic hydroxy compound transport","5/42","268/18866",0.00030844383989399,0.0301292471332157,0.0221924279138457,"STX1A/ACTB/ANXA2/RAB3B/AQP3",5
"GO:0001558","GO:0001558","regulation of cell growth","6/42","420/18866",0.000312584031664264,0.0301292471332157,0.0221924279138457,"TNFRSF12A/GNG4/APBB2/MEG3/INHBA/CIB1",6
"GO:0061041","GO:0061041","regulation of wound healing","4/42","151/18866",0.000348410837111804,0.0301292471332157,0.0221924279138457,"TNFRSF12A/ITGB1/ACTG1/ANXA2",4
"GO:0048488","GO:0048488","synaptic vesicle endocytosis","3/42","62/18866",0.00035412137705027,0.0301292471332157,0.0221924279138457,"STX1A/ACTG1/ACTB",3
"GO:0140238","GO:0140238","presynaptic endocytosis","3/42","62/18866",0.00035412137705027,0.0301292471332157,0.0221924279138457,"STX1A/ACTG1/ACTB",3
"GO:0098974","GO:0098974","postsynaptic actin cytoskeleton organization","2/42","13/18866",0.000371567520445451,0.0301292471332157,0.0221924279138457,"ACTG1/ACTB",2
"GO:0150105","GO:0150105","protein localization to cell-cell junction","2/42","13/18866",0.000371567520445451,0.0301292471332157,0.0221924279138457,"ACTG1/ACTB",2
"GO:0072659","GO:0072659","protein localization to plasma membrane","5/42","281/18866",0.000383323754875517,0.0301292471332157,0.0221924279138457,"ITGB1/ACTB/ANXA2/RAB3B/CIB1",5
"GO:0050768","GO:0050768","negative regulation of neurogenesis","5/42","295/18866",0.00047857588119702,0.0328177428871312,0.024172704684508,"ADCYAP1/ADGRG1/ID4/ID1/CIB1",5
"GO:0099188","GO:0099188","postsynaptic cytoskeleton organization","2/42","15/18866",0.000498776125421825,0.0328177428871312,0.024172704684508,"ACTG1/ACTB",2
"GO:0051937","GO:0051937","catecholamine transport","3/42","72/18866",0.000549864316322869,0.0328177428871312,0.024172704684508,"STX1A/ACTB/RAB3B",3
"GO:0070886","GO:0070886","positive regulation of calcineurin-NFAT signaling cascade","2/42","16/18866",0.000569225490337137,0.0328177428871312,0.024172704684508,"LMCD1/CIB1",2
"GO:0106058","GO:0106058","positive regulation of calcineurin-mediated signaling","2/42","16/18866",0.000569225490337137,0.0328177428871312,0.024172704684508,"LMCD1/CIB1",2
"GO:0036465","GO:0036465","synaptic vesicle recycling","3/42","74/18866",0.000595815377981763,0.0328177428871312,0.024172704684508,"STX1A/ACTG1/ACTB",3
"GO:0051580","GO:0051580","regulation of neurotransmitter uptake","2/42","17/18866",0.000644212018595004,0.0328177428871312,0.024172704684508,"ITGB1/RAB3B",2
"GO:2000811","GO:2000811","negative regulation of anoikis","2/42","17/18866",0.000644212018595004,0.0328177428871312,0.024172704684508,"ITGB1/PDK4",2
"GO:0051961","GO:0051961","negative regulation of nervous system development","5/42","319/18866",0.000682157513129348,0.0328177428871312,0.024172704684508,"ADCYAP1/ADGRG1/ID4/ID1/CIB1",5
"GO:1903034","GO:1903034","regulation of response to wounding","4/42","183/18866",0.000718996980774101,0.0328177428871312,0.024172704684508,"TNFRSF12A/ITGB1/ACTG1/ANXA2",4
"GO:0090493","GO:0090493","catecholamine uptake","2/42","18/18866",0.000723716128130119,0.0328177428871312,0.024172704684508,"ACTB/RAB3B",2
"GO:0003018","GO:0003018","vascular process in circulatory system","4/42","190/18866",0.00082715754671632,0.0348098898367844,0.0256400688499148,"ADCYAP1/KCNMA1/C2CD4B/C2CD4A",4
"GO:0030308","GO:0030308","negative regulation of cell growth","4/42","190/18866",0.00082715754671632,0.0348098898367844,0.0256400688499148,"GNG4/APBB2/MEG3/INHBA",4
"GO:0015844","GO:0015844","monoamine transport","3/42","84/18866",0.000862359592153529,0.0348098898367844,0.0256400688499148,"STX1A/ACTB/RAB3B",3
"GO:1990778","GO:1990778","protein localization to cell periphery","5/42","340/18866",0.000908401685209787,0.0348098898367844,0.0256400688499148,"ITGB1/ACTB/ANXA2/RAB3B/CIB1",5
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","3/42","86/18866",0.000923363848078673,0.0348098898367844,0.0256400688499148,"ACTG1/ACTB/JAK1",3
"GO:0010721","GO:0010721","negative regulation of cell development","5/42","343/18866",0.000944797688530194,0.0348098898367844,0.0256400688499148,"ADCYAP1/ADGRG1/ID4/ID1/CIB1",5
