"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1900118","GO:1900118","negative regulation of execution phase of apoptosis","2/4","24/18866",9.29133505845322e-06,0.00309401457446492,0.000880231742379778,"MTRNR2L12/MTRNR2L8",2
"GO:1900117","GO:1900117","regulation of execution phase of apoptosis","2/4","41/18866",2.75715097705146e-05,0.00459065637679068,0.00130601888386648,"MTRNR2L12/MTRNR2L8",2
"GO:2000272","GO:2000272","negative regulation of signaling receptor activity","2/4","58/18866",5.55132853720505e-05,0.00616197467629761,0.00175305111701212,"MTRNR2L12/MTRNR2L8",2
"GO:0097194","GO:0097194","execution phase of apoptosis","2/4","95/18866",0.000149557130626078,0.012450631124621,0.00354214256745973,"MTRNR2L12/MTRNR2L8",2
"GO:0030307","GO:0030307","positive regulation of cell growth","2/4","171/18866",0.000484237291398226,0.0278233203020793,0.00791559610300977,"REG1A/INS",2
"GO:0010469","GO:0010469","regulation of signaling receptor activity","2/4","174/18866",0.000501321086523952,0.0278233203020793,0.00791559610300977,"MTRNR2L12/MTRNR2L8",2
"GO:0045927","GO:0045927","positive regulation of growth","2/4","274/18866",0.00123692373433248,0.0388234493275949,0.011045078044835,"REG1A/INS",2
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","2/4","330/18866",0.00178815203804577,0.0388234493275949,0.011045078044835,"REG1A/INS",2
"GO:0010749","GO:0010749","regulation of nitric oxide mediated signal transduction","1/4","10/18866",0.0021186994410749,0.0388234493275949,0.011045078044835,"INS",1
"GO:1990535","GO:1990535","neuron projection maintenance","1/4","10/18866",0.0021186994410749,0.0388234493275949,0.011045078044835,"INS",1
"GO:0033860","GO:0033860","regulation of NAD(P)H oxidase activity","1/4","11/18866",0.00233038406147335,0.0388234493275949,0.011045078044835,"INS",1
"GO:0043471","GO:0043471","regulation of cellular carbohydrate catabolic process","1/4","11/18866",0.00233038406147335,0.0388234493275949,0.011045078044835,"INS",1
"GO:0031346","GO:0031346","positive regulation of cell projection organization","2/4","394/18866",0.00253861410293767,0.0388234493275949,0.011045078044835,"REG1A/INS",2
"GO:1902950","GO:1902950","regulation of dendritic spine maintenance","1/4","12/18866",0.00254203500094607,0.0388234493275949,0.011045078044835,"INS",1
"GO:1901653","GO:1901653","cellular response to peptide","2/4","398/18866",0.00258974614627059,0.0388234493275949,0.011045078044835,"REG1A/INS",2
"GO:0002674","GO:0002674","negative regulation of acute inflammatory response","1/4","13/18866",0.00275365226306523,0.0388234493275949,0.011045078044835,"INS",1
"GO:0002679","GO:0002679","respiratory burst involved in defense response","1/4","13/18866",0.00275365226306523,0.0388234493275949,0.011045078044835,"INS",1
"GO:0007494","GO:0007494","midgut development","1/4","13/18866",0.00275365226306523,0.0388234493275949,0.011045078044835,"REG1A",1
"GO:0061469","GO:0061469","regulation of type B pancreatic cell proliferation","1/4","13/18866",0.00275365226306523,0.0388234493275949,0.011045078044835,"REG1A",1
"GO:0001558","GO:0001558","regulation of cell growth","2/4","420/18866",0.00287980449647567,0.0388234493275949,0.011045078044835,"REG1A/INS",2
"GO:0043434","GO:0043434","response to peptide hormone","2/4","447/18866",0.00325613251187278,0.0388234493275949,0.011045078044835,"REG1A/INS",2
"GO:0045725","GO:0045725","positive regulation of glycogen biosynthetic process","1/4","16/18866",0.00338830202102858,0.0388234493275949,0.011045078044835,"INS",1
"GO:0048521","GO:0048521","negative regulation of behavior","1/4","16/18866",0.00338830202102858,0.0388234493275949,0.011045078044835,"INS",1
"GO:0055089","GO:0055089","fatty acid homeostasis","1/4","17/18866",0.00359978460945931,0.0388234493275949,0.011045078044835,"INS",1
"GO:0060263","GO:0060263","regulation of respiratory burst","1/4","17/18866",0.00359978460945931,0.0388234493275949,0.011045078044835,"INS",1
"GO:0070875","GO:0070875","positive regulation of glycogen metabolic process","1/4","17/18866",0.00359978460945931,0.0388234493275949,0.011045078044835,"INS",1
"GO:0090336","GO:0090336","positive regulation of brown fat cell differentiation","1/4","17/18866",0.00359978460945931,0.0388234493275949,0.011045078044835,"INS",1
"GO:0045721","GO:0045721","negative regulation of gluconeogenesis","1/4","18/18866",0.00381123353839785,0.0388234493275949,0.011045078044835,"INS",1
"GO:0016049","GO:0016049","cell growth","2/4","490/18866",0.00390144405343469,0.0388234493275949,0.011045078044835,"REG1A/INS",2
"GO:1902176","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/4","19/18866",0.0040226488114159,0.0388234493275949,0.011045078044835,"INS",1
"GO:0097062","GO:0097062","dendritic spine maintenance","1/4","20/18866",0.00423403043208526,0.0388234493275949,0.011045078044835,"INS",1
"GO:0005980","GO:0005980","glycogen catabolic process","1/4","22/18866",0.00465669273066216,0.0388234493275949,0.011045078044835,"INS",1
"GO:0044342","GO:0044342","type B pancreatic cell proliferation","1/4","22/18866",0.00465669273066216,0.0388234493275949,0.011045078044835,"REG1A",1
"GO:0051000","GO:0051000","positive regulation of nitric-oxide synthase activity","1/4","22/18866",0.00465669273066216,0.0388234493275949,0.011045078044835,"INS",1
"GO:0009251","GO:0009251","glucan catabolic process","1/4","23/18866",0.00486797341571199,0.0388234493275949,0.011045078044835,"INS",1
"GO:1900273","GO:1900273","positive regulation of long-term synaptic potentiation","1/4","23/18866",0.00486797341571199,0.0388234493275949,0.011045078044835,"INS",1
"GO:1903861","GO:1903861","positive regulation of dendrite extension","1/4","23/18866",0.00486797341571199,0.0388234493275949,0.011045078044835,"REG1A",1
"GO:0044247","GO:0044247","cellular polysaccharide catabolic process","1/4","24/18866",0.00507922046269704,0.0388234493275949,0.011045078044835,"INS",1
"GO:0045821","GO:0045821","positive regulation of glycolytic process","1/4","24/18866",0.00507922046269704,0.0388234493275949,0.011045078044835,"INS",1
"GO:0046628","GO:0046628","positive regulation of insulin receptor signaling pathway","1/4","24/18866",0.00507922046269704,0.0388234493275949,0.011045078044835,"INS",1
"GO:0050995","GO:0050995","negative regulation of lipid catabolic process","1/4","24/18866",0.00507922046269704,0.0388234493275949,0.011045078044835,"INS",1
"GO:0090335","GO:0090335","regulation of brown fat cell differentiation","1/4","24/18866",0.00507922046269704,0.0388234493275949,0.011045078044835,"INS",1
