"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009914","GO:0009914","hormone transport","7/45","323/18866",1.04886658089183e-05,0.006375233225884,0.00531818637567563,"G6PC2/SLC30A8/CRH/NEUROD1/ABCC8/SLC7A8/PTPRN",7
"GO:0030073","GO:0030073","insulin secretion","6/45","213/18866",1.08885281398531e-05,0.006375233225884,0.00531818637567563,"G6PC2/SLC30A8/CRH/NEUROD1/ABCC8/PTPRN",6
"GO:0030072","GO:0030072","peptide hormone secretion","6/45","257/18866",3.14523744855911e-05,0.0122769101742091,0.0102413345693433,"G6PC2/SLC30A8/CRH/NEUROD1/ABCC8/PTPRN",6
"GO:0050796","GO:0050796","regulation of insulin secretion","5/45","181/18866",6.88473835168811e-05,0.0166723957203737,0.0139080257346458,"G6PC2/SLC30A8/CRH/NEUROD1/ABCC8",5
"GO:0046879","GO:0046879","hormone secretion","6/45","314/18866",9.55640144360946e-05,0.0166723957203737,0.0139080257346458,"G6PC2/SLC30A8/CRH/NEUROD1/ABCC8/PTPRN",6
"GO:0009306","GO:0009306","protein secretion","7/45","462/18866",0.000102371124529414,0.0166723957203737,0.0139080257346458,"G6PC2/SLC30A8/CRH/NEUROD1/SCG2/ABCC8/PTPRN",7
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","7/45","463/18866",0.000103757994254763,0.0166723957203737,0.0139080257346458,"G6PC2/SLC30A8/CRH/NEUROD1/SCG2/ABCC8/PTPRN",7
"GO:0071692","GO:0071692","protein localization to extracellular region","7/45","470/18866",0.000113901934895806,0.0166723957203737,0.0139080257346458,"G6PC2/SLC30A8/CRH/NEUROD1/SCG2/ABCC8/PTPRN",7
"GO:0034284","GO:0034284","response to monosaccharide","5/45","207/18866",0.000129557629999829,0.0168568871922,0.0140619275602154,"SLC30A8/CRH/NEUROD1/PTPRN/GSTP1",5
"GO:0090276","GO:0090276","regulation of peptide hormone secretion","5/45","213/18866",0.000148083616436574,0.0173405914847229,0.0144654311634885,"G6PC2/SLC30A8/CRH/NEUROD1/ABCC8",5
"GO:0009743","GO:0009743","response to carbohydrate","5/45","233/18866",0.000224815060490637,0.0239325850758669,0.0199644379076853,"SLC30A8/CRH/NEUROD1/PTPRN/GSTP1",5
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","2/45","10/18866",0.000247320453827805,0.02413435428603,0.0201327527326494,"ERO1B/CALR",2
"GO:0042593","GO:0042593","glucose homeostasis","5/45","245/18866",0.000283530688918942,0.0241646399631279,0.0201580168868558,"G6PC2/CRH/ERO1B/NEUROD1/PTPRN",5
"GO:0033500","GO:0033500","carbohydrate homeostasis","5/45","246/18866",0.000288902612710325,0.0241646399631279,0.0201580168868558,"G6PC2/CRH/ERO1B/NEUROD1/PTPRN",5
"GO:0046883","GO:0046883","regulation of hormone secretion","5/45","267/18866",0.000420667881508228,0.0328401392830757,0.0273950732659393,"G6PC2/SLC30A8/CRH/NEUROD1/ABCC8",5
"GO:0050746","GO:0050746","regulation of lipoprotein metabolic process","2/45","15/18866",0.000572716138930516,0.0419156624179771,0.034965827429442,"DBI/PEMT",2
"GO:0051238","GO:0051238","sequestering of metal ion","2/45","16/18866",0.000653540023209087,0.043703210966928,0.0364569911252723,"SLC30A8/FTL",2
"GO:0031647","GO:0031647","regulation of protein stability","5/45","296/18866",0.000671782918364393,0.043703210966928,0.0364569911252723,"ASPH/PFN2/CD81/SERF2/CALR",5
