"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","4/49","17/18866",9.32191553455324e-08,6.22703957708156e-05,4.80814590729588e-05,"B2M/HLA-A/HLA-C/HLA-B",4
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","4/49","17/18866",9.32191553455324e-08,6.22703957708156e-05,4.80814590729588e-05,"B2M/HLA-A/HLA-C/HLA-B",4
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","4/49","24/18866",4.10670542090544e-07,0.000182885281410989,0.000141213028508328,"B2M/HLA-A/HLA-C/HLA-B",4
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","4/49","52/18866",9.91857282973351e-06,0.00331280332513099,0.00255794772977338,"B2M/HLA-A/HLA-B/CADM1",4
"GO:0031343","GO:0031343","positive regulation of cell killing","4/49","61/18866",1.87939371226933e-05,0.00429286257727649,0.00331469061277258,"B2M/HLA-A/HLA-B/CADM1",4
"GO:0009306","GO:0009306","protein secretion","8/49","462/18866",2.27361346776828e-05,0.00429286257727649,0.00331469061277258,"MAFA/SCG2/SLC30A8/VGF/ABCC8/NEUROD1/HMGB1/CADM1",8
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","8/49","463/18866",2.3090749229519e-05,0.00429286257727649,0.00331469061277258,"MAFA/SCG2/SLC30A8/VGF/ABCC8/NEUROD1/HMGB1/CADM1",8
"GO:0071692","GO:0071692","protein localization to extracellular region","8/49","470/18866",2.57057639357873e-05,0.00429286257727649,0.00331469061277258,"MAFA/SCG2/SLC30A8/VGF/ABCC8/NEUROD1/HMGB1/CADM1",8
"GO:0002709","GO:0002709","regulation of T cell mediated immunity","4/49","73/18866",3.8312034812562e-05,0.00479037433580574,0.00369883930750837,"B2M/HLA-A/HLA-B/HMGB1",4
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity","4/49","75/18866",4.26203220899693e-05,0.00479037433580574,0.00369883930750837,"B2M/HLA-A/HLA-B/CADM1",4
