"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","GO:0001666","response to hypoxia","12/44","359/18866",2.29063611021234e-11,1.87268721374644e-08,1.39825880600752e-08,"NDRG1/CITED2/PGK1/LDHA/PLOD2/BNIP3/ENO1/BNIP3L/ERO1A/HILPDA/FAM162A/EGR1",12
"GO:0036293","GO:0036293","response to decreased oxygen levels","12/44","371/18866",3.35475816398288e-11,1.87268721374644e-08,1.39825880600752e-08,"NDRG1/CITED2/PGK1/LDHA/PLOD2/BNIP3/ENO1/BNIP3L/ERO1A/HILPDA/FAM162A/EGR1",12
"GO:0071456","GO:0071456","cellular response to hypoxia","10/44","208/18866",3.82441228130655e-11,1.87268721374644e-08,1.39825880600752e-08,"NDRG1/CITED2/PGK1/BNIP3/ENO1/BNIP3L/ERO1A/HILPDA/FAM162A/EGR1",10
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","10/44","218/18866",6.07804579727001e-11,2.09541270182039e-08,1.56455880140221e-08,"NDRG1/CITED2/PGK1/BNIP3/ENO1/BNIP3L/ERO1A/HILPDA/FAM162A/EGR1",10
"GO:0070482","GO:0070482","response to oxygen levels","12/44","396/18866",7.1321058605187e-11,2.09541270182039e-08,1.56455880140221e-08,"NDRG1/CITED2/PGK1/LDHA/PLOD2/BNIP3/ENO1/BNIP3L/ERO1A/HILPDA/FAM162A/EGR1",12
"GO:0071453","GO:0071453","cellular response to oxygen levels","10/44","235/18866",1.27159033174719e-10,3.11327699556103e-08,2.3245563608431e-08,"NDRG1/CITED2/PGK1/BNIP3/ENO1/BNIP3L/ERO1A/HILPDA/FAM162A/EGR1",10
"GO:0019674","GO:0019674","NAD metabolic process","5/44","50/18866",1.06961034002526e-07,2.24465369928157e-05,1.67599093880649e-05,"PGK1/TPI1/LDHA/ENO1/GAPDH",5
"GO:0031639","GO:0031639","plasminogen activation","4/44","23/18866",2.20573864879859e-07,4.0502875938564e-05,3.02418377901069e-05,"FGB/FGA/PGK1/ENO1",4
"GO:0003018","GO:0003018","vascular process in circulatory system","7/44","190/18866",2.63077082136087e-07,4.29400259619902e-05,3.20615578462927e-05,"FGB/FGA/C2CD4A/C2CD4B/PTP4A3/EDN3/SOD2",7
"GO:0006735","GO:0006735","NADH regeneration","4/44","27/18866",4.34204741104301e-07,5.31538970568515e-05,3.96878368623405e-05,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0061621","GO:0061621","canonical glycolysis","4/44","27/18866",4.34204741104301e-07,5.31538970568515e-05,3.96878368623405e-05,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0061718","GO:0061718","glucose catabolic process to pyruvate","4/44","27/18866",4.34204741104301e-07,5.31538970568515e-05,3.96878368623405e-05,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0061620","GO:0061620","glycolytic process through glucose-6-phosphate","4/44","28/18866",5.05713316589768e-07,5.71456047746438e-05,4.26682814483027e-05,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0061615","GO:0061615","glycolytic process through fructose-6-phosphate","4/44","29/18866",5.8563286145721e-07,6.14496195343315e-05,4.58819129051438e-05,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0006007","GO:0006007","glucose catabolic process","4/44","36/18866",1.43528347399696e-06,0.000140562094886769,0.000104951956484549,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0006734","GO:0006734","NADH metabolic process","4/44","41/18866",2.44671088192876e-06,0.000224638642847084,0.000167728469669064,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0006096","GO:0006096","glycolytic process","5/44","115/18866",6.92657541696597e-06,0.000589731477306896,0.000440328328869468,"PGK1/TPI1/LDHA/ENO1/GAPDH",5
"GO:0006757","GO:0006757","ATP generation from ADP","5/44","116/18866",7.22611748912466e-06,0.000589731477306896,0.000440328328869468,"PGK1/TPI1/LDHA/ENO1/GAPDH",5
"GO:0019320","GO:0019320","hexose catabolic process","4/44","56/18866",8.65093447498855e-06,0.000668853828618851,0.000499405746423162,"PGK1/TPI1/ENO1/GAPDH",4
"GO:0031638","GO:0031638","zymogen activation","4/44","58/18866",9.95917909653074e-06,0.000699866690955111,0.000522561779925639,"FGB/FGA/PGK1/ENO1",4
"GO:0046031","GO:0046031","ADP metabolic process","5/44","124/18866",1.00049016406108e-05,0.000699866690955111,0.000522561779925639,"PGK1/TPI1/LDHA/ENO1/GAPDH",5
"GO:0006165","GO:0006165","nucleoside diphosphate phosphorylation","5/44","133/18866",1.40621937535318e-05,0.000920582255370067,0.000687361047684146,"PGK1/TPI1/LDHA/ENO1/GAPDH",5
